aaa,9633320,9421,6,18
aab,9987403,9175,187,388
aac,9944003,9410,130,255
aad,9877862,8016,238,383
aae,9902063,9640,161,406
aaf,9981607,10403,133,294
aag,9988677,9827,147,314
aba,9900471,10202,49,177
abb,9867940,7347,31,59
abc,9788977,8934,13,24
abd,9990884,8186,156,296
abe,9731416,9027,62,151
abf,9981977,9383,226,314
abg,9997969,7471,27,65
aca,9712741,10368,298,551
acb,9621442,9341,118,266
acc,9996794,9497,280,443
acd,9987963,11167,18,84
ace,9538764,10248,94,224
acf,9946061,8530,308,636
acg,9980636,8574,41,170
ada,9994653,10223,5,8
adb,9820837,9335,180,331
adc,9918399,11917,22,42
add,9621377,9342,16,94
ade,9287372,8730,5,6
adf,9799456,8199,35,96
adg,9982815,8522,102,297
aea,9993933,7221,348,465
aeb,9844678,10012,21,74
aec,9691071,7739,128,282
aed,9853857,9800,114,332
aee,9994050,8218,59,243
aef,9940420,7950,235,610
aeg,9777622,8505,10,44
afa,9963079,9913,39,110
afb,9890069,10067,77,192
afc,9898980,8230,18,64
afd,9997294,7147,169,321
afe,9866768,7487,8,20
aff,9988622,9547,33,71
afg,9941835,8232,78,117
aga,9652402,7689,352,494
agb,9995553,9294,38,120
agc,9784289,10957,13,31
agd,9941585,8558,173,234
age,9774884,9871,20,54
agf,9904761,9619,137,253
agg,9999126,9362,130,295
baa,9747875,9237,117,174
bab,9732027,9779,160,302
bac,9634870,9094,35,66
bad,9924003,8907,141,308
bae,9987804,7459,276,611
baf,9958545,11112,196,309
bag,9855614,8170,102,156
bba,9976410,11340,88,202
bbb,9634276,9320,293,445
bbc,9253678,9188,64,100
bbd,9955422,8535,61,205
bbe,9895749,8169,282,456
bbf,9801990,8176,38,109
bbg,9870755,8798,374,652
bca,9835176,9530,189,345
bcb,9645645,8466,19,86
bcc,9632275,8974,21,49
bcd,9791893,9533,329,672
bce,9534066,10231,713,1956
bcf,9906882,8493,195,355
bcg,9997214,8793,34,80
bda,9721209,11465,154,254
bdb,9998453,8959,470,717
bdc,9857087,8941,37,83
bdd,9848803,10057,183,345
bde,9842051,9948,77,216
bdf,9901678,6509,109,298
bdg,9903844,8838,366,1129
bea,9972356,7857,35,83
beb,9596121,7525,71,144
bec,9750113,8342,106,165
bed,9623674,8088,126,176
bee,9704351,8774,16,35
bef,9812721,11189,99,212
beg,9870641,9724,198,337
bfa,9432534,10874,214,549
bfb,9897529,8251,37,115
bfc,9827943,9095,52,98
bfd,9966199,8260,15,45
bfe,9579174,7842,17,43
bff,9788064,7441,347,535
bfg,9635224,8772,128,257
bga,9456980,8343,28,69
bgb,9828078,9917,7,16
bgc,9992127,7692,14,33
bgd,9668506,8374,119,369
bge,9827848,6099,108,167
bgf,9891331,8090,49,136
bgg,9883494,8158,18,34
caa,9940135,8897,68,117
cab,9859600,8675,59,118
cac,9902054,10628,171,287
cad,9972016,9185,25,75
cae,9929346,7788,301,601
caf,9693148,7199,102,185
cag,9916486,9368,68,221
cba,9773742,8068,138,244
cbb,9923400,8926,200,271
cbc,9743677,7919,256,380
cbd,9585682,9249,313,479
cbe,9705995,7883,19,30
cbf,9920885,9533,197,282
cbg,9852583,6713,86,160
cca,9882937,10527,518,993
ccb,9914216,7245,334,794
ccc,9990183,8327,132,193
ccd,9609837,7709,29,89
cce,9794755,9614,321,525
ccf,9875546,10450,109,185
ccg,9847945,9675,45,67
cda,9979411,9537,156,271
cdb,9909068,9041,368,742
cdc,9950366,9351,76,154
cdd,9969792,6542,230,410
cde,9846714,8083,161,338
cdf,9847466,7263,84,173
cdg,9953153,7396,268,718
cea,9619436,9927,195,332
ceb,9948545,9472,43,69
cec,9964397,8383,99,256
ced,9989833,8389,78,151
cee,9938868,9225,33,61
cef,9969186,8965,43,91
ceg,9924684,8626,273,365
cfa,9835829,10120,44,90
cfb,9968333,10914,181,288
cfc,9902414,10393,318,490
cfd,9880986,9397,42,147
cfe,9958125,7066,135,253
cff,9766821,9437,194,424
cfg,9859997,8379,119,228
cga,9989289,8934,100,233
cgb,9856649,10965,12,26
cgc,9948675,8997,75,108
cgd,9815250,9716,20,57
cge,9432730,8567,87,163
cgf,9881350,8429,100,234
cgg,9817427,8780,60,152
daa,9697138,9880,267,405
dab,9820170,8840,11,26
dac,9858062,8395,54,83
dad,9910075,9572,200,372
dae,9539190,8856,97,263
daf,9622266,10789,57,127
dag,9945612,8691,41,86
dba,9986748,9074,506,705
dbb,9839789,8819,70,151
dbc,9920413,9795,160,298
dbd,9439068,7964,262,399
dbe,9639009,7514,208,386
dbf,9760510,8930,40,64
dbg,9710620,8800,153,339
dca,9990520,9131,193,262
dcb,9937019,8011,90,203
dcc,9982395,9432,195,311
dcd,9841390,8239,108,192
dce,9881899,9208,175,353
dcf,9939904,7758,33,74
dcg,9843845,8919,93,188
dda,9815662,7988,108,237
ddb,9969869,6523,53,148
ddc,9982553,9150,62,115
ddd,9547830,9881,137,281
dde,9839054,10623,231,426
ddf,9631178,8310,43,80
ddg,9989239,7833,209,343
dea,9421503,9148,62,216
deb,9936135,10446,183,283
dec,9699909,9302,180,284
ded,9730784,10310,63,112
dee,9865080,8944,127,260
def,9721677,10483,31,62
deg,9661007,10418,111,257
dfa,9838391,9282,138,279
dfb,9854069,8108,148,260
dfc,9881169,7816,183,284
dfd,9855839,8455,49,118
dfe,9911053,9424,82,117
dff,9994807,8983,239,513
